arabic,English
لَا,no
مِنْ,from
فِي,in
أَنَّ,that
هَذَا,this
عَلَى,on
مَا,what
أَنَا,I
هَلْ,Do
و,And
يَا,Hey
ذَلِكَ,that
لِقَدٍّ,lhave
لَمْ,did not
مَاذَا,What
كَانَ,He was
هُنَا,here
إِلَى,to
أَنْتَ,You
هُوَ,he
هَذِهِ,This is amazing
عَنْ,on
نَعَمْ,Yes
انَّ,that
هُنَاكَ,there
كُلُّ,all
حُسْنًا,Good
لَيْسَ,not
كَنَّتْ,I was
فَقَطْ,Just
شَيْءٌ,something
الْآنَ,now
مَعَ,with
الَّذِي,that
لَكِنَّ,but
أَجَلْ,Okay
لَكَ,for you
يَجِبُ,He should
لَنْ,won't
كَيْفَ,how
حُسْنًا,Good
انا,I
لِي,for me
إِنَّهُ,that it
سَوْفَ,will
نَحْنُ,we
إذاً,if
كانت,She was
عِنْدَمَا,when
أَيَّ,any
قَدْ,may be
لِمَاذَا,Why
هِي,she
الْأَمْرَ,The matter
أَنَّهُ,that it
فِىَّ,in
حَتَّى,until
بَعْدَ,after
كَذَلِكَ,like that
أَوْ,or
وَلَكِنَّ,But
قَبْلَ,before
الَّتِي,that
اِنْهَ,that it
إِنَّهَا,that it
لَوْ,if
رُبَّمَا,maybe
أَيْنَ,where
هَيَّا,Let's go
تِلْكَ,That
أَعُرْفٌ,I know
الى,to
إِنَّ,that
يَكْوُنَّ,He is
بَعْضَ,some
أُرِيدُ,I want
أَعْتَقِدُ,I believe
اُنْتُ,You
عَلَيْكَ,upon you
مِثْلُ,like
صَحِيحٌ,correct
بِهِ,with it
أَنَّكَ,You
الْوَقْتَ,the time
بِخَيْرٍ,fine
أَعِلْمٌ,Know
أَحَدٌّ,One
شَخْصٌ,person
جِدًّا,very
رَجُلٌ,man
شُكْرًا,Thanks
لِذَا,So
يُمْكِنُ,maybe
كَمَا,as
كِلَا,both
أَكْثَرَ,more
يَبْدُو,It seems
جَيِّدٌ,good
تَكَوُّنٌ,become
عَلِيٌّ,on
الْيَوْمَ,today
يُمْكِنُكَ,You could
انها,that it
أَلَيْسَ,Isn't it?
مُرْحِبًا,Welcome
لُدِّيٌّ,I have
عَلَيْهِ,on him
آخِرَ,last
لَسْتَ,You are not
مُنْذُ,since
غَيْرَ,not
أَيَّهَا,Oh
لَدَيْكَ,You have
حَقًّا,truly
أَنْتِ,You
تُرِيدُ,You want
أَسْتَطِيعُ,I can
الرَّجُلَ,the man
تَعَرُّفٌ,to get to know
لَهُ,for him
مَرَّةً,Once
لَدَيْنَا,we've got
أَنَّهَا,that it
يُمْكِنُنِي,I can
بِأَنَّ,That
وَاحِدٌ,One
أَنَّنِي,I am
أَوَّهْ,Oh
سَيُكَوِّنُ,Will be
النَّاسَ,the people
لَيْسَتْ,It is not
حَدَثٌ,It happened
بِهَا,With it
أَيْضًا,also
أَفَضْلٌ,better
الْكَثِيرَ,a lot
عَلَيْنَا,We
سَيِّدِيٌّ,my lord
مَكَانٌ,place
تَفْعَلُ,are doing
وَقْتَ,time
يَكُنُّ,It is
ط,I
شِئْ,a thing
بِهَذَا,by this
وَأَنَا,And I am
اذا,if
جِدًّا,very
بِي,with me
أُخْرَى,Other
آسِفٌ,Sorry
بِكَ,You
رَائِعٌ,amazing
بِذَلِكَ,That is
كَمْ,how much
إِذَا,if
ثُمَّ ,then
شَيْئًا,Something
يُوجَدُ,There is
وَاحِدَةً,one
وَلَا,no
قُلْتُ,I said
يَحْدُثُ,It is happening
بِالطَّبْعِ,naturally
شُكْرًا,Thanks
مُرْحِبًا,Welcome
يَوْمٌ,day
أَبِي,my dad
مَعَكَ,with you
لَهَا,she has
مَعْي,with me
سَيِّدٌ,sir
تَعَلُّمٌ,to learn
إِذَنْ,permission
الْعَمَلَ,the job
تَمٌّ,It was completed
اُلْمُكَانِّ,Place
اللَّيْلَةَ,Tonight
إلَهِيٌّ,divine
لِهَذَا,For this
فَعَلًّ,an act
هَكَذَا,thus
أُمِّيٌّ,My mom
لِذَلِكَ,So
أَلَا,unless
ل,to
الَانِ,now
حَوْلَ,around
بِمَا,What
حَقًّا,truly
الْحَقِيقَةَ,the truth
الْجَمِيعَ,everyone
يُمْكِنُنَا,We can
بِالتَّأْكِيدِ,certainly
لِأَنَّ,because
لَدَيْهُ,he have
لَنَا,for us
خِلَالَ,during
ظ,P
بِشَكْلٍ,In a way
الْعَالَمَ,the world
فَحَسْبُ,Calculating
حَالٌ,A situation
الذَّهَابَ,going
عَلَيْهَا,on her
في,in
أَعَنِيٌّ,I mean
فَعَلَتْ,I did
قَالَ,He said
هُمْ,they
الْمَنْزِلَ,the home
عَنْهُ,about him
هَا,Ha
بِشَأْنٍ,about
أَفِعْلٌ,I do
أَكَوْنٌ,I be
اللَّعْنَةَ,the curse
لِلَغَاِيَّةً,Extremely
فِيهِ,in it
بَيْنَ,between
أَنَّنَا,I am
مِنْكَ,From you
وَهَذَا,and this is
لُكْ,for you
جَيِّدَةً,Good
يَعْنِي,Means
مُجَرَّدٌ,merely
أَظَنٌّ,I suspect
اِنْكِ,You
مَنِّيٌّ,Mona
أَنَّ,that
بِالنِّسْبَةِ,with regards
الْأُمُورَ,Things
فَكُرَةً,an idea
أَمْ,Mother
مَتَى,when
الشَّيْءَ,The thing
الْمَالَ,the money
كَنَّا,We were
أَقُولُ,I say
عَمَلٌ,a job
أَبَدًا,never
سَتُكَوِّنُ,it will be
عَلِيٌّ,on
أَيَّ,any
أَمْرٌ,Command
تَقُولُ,Says
تَوَقُّفٌ,to stop
هَؤُلَاءِ,these
السَّيِّدَ,Mr
اُنْظُرْ,Look
لَمَّا,when
مِنْهُ,from him
الطَّرِيقَ,The Road
أَشِعْرٌ,I feel
حَصَّلَتْ,I got
الْحَيَاةَ,life
أَنِّيٌّ,that I
نَفْسُ,same
مَعَهُ,With him
بِحَاجَةٍ,In need
بِسَبَبٍ,because of
الَّذِينَ,Whose
تَسْتَطِيعُ,Could you
بِأُسٍّ,With a good
اي,any
بِدُونِ,without
لَكُمْ,to you
تَبْدُو,I seem
أَرَى,Show
الْجَحِيمَ,Hell
تَكَنٍّ,It is
اِعْتَقَدَ,I believe
عِنْدَ,when
آسِفَةً,sorry
حَيْثُ,where
دَائِمًا,always
وَأَنْتَ,And you
تَحْتَ,under
حُسْنًا,Good
تَعَالٍ,Come here
بِالْفِعْلِ,actually
بَلْ,but rather
فَضَّلَكَ,False you
الْأَشْيَاءَ,The things
لَيْلَةً,a night
نَفْسُكَ,yourself
لِكَيْ,in order to
تَعْتَقِدُ,U think
وَهُوَ,and he
بِحَقٍّ,In fact
مُشَكَّلَةً,problem
شَيْئًا,Something
أَرْجُوكَ,Please
أَذَهَبٌ,Go
يُرِيدُ,Wants
تَمَامًا,completely
الً,the